Tipo_Documento|Documento|Nombre|Apellido|Restringido|Nro_Licencia|Fecha_Vencimiento_Licencia|Telefono
DNI|43411462|Pedro|Gómez|False|536374|2032-01-24 21:27:41|3510000000
Cédula|99976442|Carlos|Sánchez|True|681010|2026-06-20 21:27:41|3510000001
DNI|31385061|Ana|López|True|888310|2033-09-07 21:27:41|3510000002
Cédula|29299749|Elena|Ruiz|True|163051|2028-12-20 21:27:41|3510000003
Pasaporte|67081379|Miguel|Fernández|False|788600|2030-06-26 21:27:41|3510000004
Pasaporte|43861397|Sofía|López|True|732522|2030-09-17 21:27:41|3510000005
DNI|73330865|Luis|Martínez|True|228592|2030-09-11 21:27:41|3510000006
Pasaporte|84497311|Juan|Díaz|True|155328|2026-01-26 21:27:41|3510000007
Pasaporte|24795348|Ana|Fernández|True|888940|2029-09-03 21:27:41|3510000008
Cédula|70064327|Carlos|Gómez|True|207910|2032-06-24 21:27:41|3510000009
DNI|34876377|Ana|Fernández|True|211183|2031-05-06 21:27:41|3510000010
Pasaporte|53784914|Elena|Fernández|False|508220|2031-11-02 21:27:41|3510000011
DNI|90761119|Sofía|Rodríguez|True|416020|2032-12-11 21:27:41|3510000012
Cédula|49395787|María|Sánchez|False|979391|2023-10-18 21:27:41|3510000013
DNI|86245097|María|Ruiz|False|716866|2028-05-21 21:27:41|3510000014
DNI|31358443|Elena|Martínez|False|420221|2026-11-15 21:27:41|3510000015
Pasaporte|78181102|Juan|López|True|758898|2026-04-30 21:27:41|3510000016
Pasaporte|95625163|Luis|Sánchez|True|154623|2028-02-14 21:27:41|3510000017
DNI|92920301|Lucía|Pérez|True|491835|2027-11-15 21:27:41|3510000018
Pasaporte|48386581|María|Ruiz|True|348575|2030-03-07 21:27:41|3510000019
Cédula|27819533|Lucía|Fernández|False|451772|2026-05-28 21:27:41|3510000020
Cédula|49776787|Elena|Torres|False|506782|2034-01-07 21:27:41|3510000021
Pasaporte|54856313|Carlos|Ruiz|True|974723|2030-08-09 21:27:41|3510000022
Cédula|17992576|Lucía|Sánchez|False|172161|2029-09-15 21:27:41|3510000023
Cédula|48442227|Ana|Ruiz|False|293650|2034-01-15 21:27:41|3510000024
Pasaporte|70168827|Luis|Martínez|True|717212|2027-01-25 21:27:41|3510000025
DNI|89974536|Miguel|Torres|False|369176|2028-09-30 21:27:41|3510000026
Cédula|41186561|Miguel|Díaz|False|273697|2033-12-13 21:27:41|3510000027
Cédula|19186351|Carlos|Fernández|False|436581|2034-07-09 21:27:41|3510000028
